orgId,name,Media,expGroup,condition_1,concentration_1,units_1,condition_2,concentration_2,units_2,condition_3,concentration_3,units_3,condition_4,concentration_4,units_4,temperature,pH,aerobic,shaking,growthMethod
Btheta,set6IT032,BHIS,stress,Sulfaquinoxaline sodium salt,0.2,mM,Dimethyl Sulfoxide,2,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT033,BHIS,stress,Zinc Pyrithione,0.05,mM,Dimethyl Sulfoxide,0.5,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT034,BHIS,stress,Dimethyl Sulfoxide,2,vol%,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT035,BHIS,stress,Dimetridazole,0.025,mM,Dimethyl Sulfoxide,0.25,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT042,BHIS,stress,Dimetridazole,0.025,mM,Dimethyl Sulfoxide,0.25,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT046,BHIS,stress,Dimetridazole,0.025,mM,Dimethyl Sulfoxide,0.25,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT054,BHIS,stress,Dimetridazole,0.0125,mM,Dimethyl Sulfoxide,0.125,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT058,BHIS,stress,Benzethonium chloride,0.003,mM,Dimethyl Sulfoxide,0.3,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT061,BHIS,stress,Benzethonium chloride,0.003,mM,Dimethyl Sulfoxide,0.3,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT062,BHIS,stress,Dimethyl Sulfoxide,2,vol%,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set7IT001,Varel_Bryant_medium_Glucose,stress,Nitrofurantoin,0.15,mM,Dimethyl Sulfoxide,1.5,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set7IT003,Varel_Bryant_medium_Glucose,stress,Irgasan,0.005,mM,Dimethyl Sulfoxide,0.05,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set7IT004,Varel_Bryant_medium_Glucose,stress,Irgasan,0.0025,mM,Dimethyl Sulfoxide,0.025,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set7IT006,Varel_Bryant_medium_Glucose,stress,Thioridazine hydrochloride,0.00625,mM,Dimethyl Sulfoxide,0.0625,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set7IT007,Varel_Bryant_medium_Glucose,stress,Dimethyl Sulfoxide,2,vol%,,,,,,,,,,37,,Anaerobic,0 rpm,
